block,pot,species,aphid_treat,CO2,live_adult,dead_adult,live_nymph,dead_nymph,total_aphids,shoot_dry_wt,root_dry_wt,sucrose,glucose,fructose,total_sugar
2,2,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,4.06,0.958,40.718,7.936,19.828,68.482
2,3,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.69,0.387,18.118,7.416,22.057,47.591
2,4,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,4.35,1.391,41.194,8.557,22.623,72.374
2,5,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,3.23,0.532,25.381,7.157,16.828,49.366
2,6,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,3.4,0.505,21.637,8.474,21.59,51.7
2,7,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.49,0.385,37.88,8.781,16.271,62.931
2,8,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.85,0.372,22.583,8.305,23.297,54.186
2,9,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.86,0.327,29.857,8.612,16.401,54.87
2,10,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,2.71,0.716,24.768,6.729,16.878,48.375
2,1,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,2.9,0.788,36.45,7.461,13.763,57.674
2,2,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,5.83,0.53,49.116,11.034,13.926,74.075
2,3,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,4.59,0.869,49.062,12.671,20.495,82.228
2,4,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,3.88,0.994,31.925,9.022,13.487,54.434
2,5,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,4.14,0.586,30.826,9.722,12.358,52.907
2,6,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,2.88,0.519,45.217,12.128,18.018,75.363
2,7,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,4.14,0.847,32.388,9.707,14.547,56.642
2,8,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,4.33,0.466,40.434,11.942,16.449,68.824
2,9,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,5.39,1.068,5.825,4.659,5.515,15.999
2,10,foxtail barley,ctrl,Elevated,NA,NA,NA,NA,NA,4.61,0.967,26.891,8.43,13.925,49.247
2,21,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,13.23,1.093,50.285,22.925,28.792,102.002
2,22,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,10.05,1.031,73.941,16.452,18.327,108.721
2,23,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,6.35,0.173,61.858,17.114,21.575,100.546
2,24,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,13.52,1.232,73.422,19.795,24.512,117.729
2,25,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,11.02,0.717,28.39,11.309,21.678,61.377
